feature,importance_normalized,importance_scaled,n_models
item_CHLORTHALIDONE,0.005835588586196348,0.005076753656112744,3
item_PHENYTOIN SODIUM EXTENDED,0.005835521149116619,0.005076694988261847,3
item_64491,0.005835511063210058,0.00507668621388335,3
item_99495,0.005835475144172211,0.0050766549656032466,3
item_M3500,0.005835468706567354,0.005076649365116935,3
item_R739,0.005835455908452118,0.005076638231213755,3
item_84155,0.005835450737557449,0.005076633732720068,3
item_M47812,0.005835427605301378,0.005076613608483439,3
item_R309,0.0058354228660525,0.005076609485506174,3
item_M069,0.005835305740769827,0.005076507590693294,3
item_E162,0.005835298571077644,0.005076501353317155,3
item_J3360,0.005835285723834741,0.00507649017667466,3
item_F422,0.00583518868428066,0.005076405755728307,3
item_O479,0.005835135156160923,0.005076359188175854,3
item_R350,0.0058350605593867864,0.005076294291646527,3
item_K449,0.005835024551708198,0.005076262966252142,3
item_59812,0.0058349840609605965,0.005076227740747828,3
item_83002,0.005834970981998997,0.0050762163625183414,3
item_I861,0.005834968676563408,0.005076214356871716,3
item_43235,0.005834941053935982,0.0050761903261723786,3
item_S299XXA,0.005834929603040653,0.005076180364302403,3
item_K6289,0.0058349043032578495,0.005076158354394927,3
item_F3112,0.005834900406144666,0.0050761549640456404,3
item_M25562,0.005834891842012121,0.005076147513556188,3
item_96103,0.0058348786182046124,0.0050761360093159345,3
item_F909,0.0058348139100766515,0.005076079715555613,3
item_76937,0.005834802320910336,0.0050760696333948165,3
item_71250,0.005834754991682668,0.005076028458657076,3
item_BOTOX,0.005834744584080417,0.005076019404414817,3
item_N529,0.005834704666990707,0.00507598467797238,3
item_J1956,0.005834670034912484,0.005075954549301186,3
item_S335XXA,0.0058346464820439045,0.005075934059146695,3
item_GLIMEPIRIDE,0.005834624654446348,0.0050759150699163785,3
item_N281,0.00583458559440067,0.00507588108907164,3
item_J0780,0.005834557176749986,0.005075856366730461,3
item_36000,0.0058345435438721975,0.005075844506613674,3
item_F3342,0.005834539744106915,0.005075841200953584,3
item_N9089,0.005834395712928971,0.005075715898972743,3
item_Z30013,0.005834172999324872,0.0050755221460912344,3
item_M79602,0.005834087458117253,0.005075447728295649,3
item_G0283,0.005834084572715673,0.005075445218099325,3
item_Z8639,0.00583408241966654,0.005075443345023473,3
item_R404,0.005834070128652042,0.005075432652279825,3
item_76000,0.0058340500567804,0.005075415190468349,3
item_L500,0.005834027488550238,0.005075395556914116,3
item_OMEGA-3-ACID ETHYL ESTERS,0.005834002758836111,0.005075374042946029,3
item_METHIMAZOLE,0.005833987362353463,0.005075360648556001,3
item_B353,0.005833961761878972,0.005075338377057496,3
item_I959,0.0058339522475098615,0.005075330099896169,3
item_S3991XA,0.005833948955057912,0.00507532723558056,3
item_S60221A,0.005833915708137057,0.005075298311946807,3
item_J7060,0.005833913890225779,0.00507529673042892,3
item_J690,0.005833910909728247,0.005075294137502513,3
item_85018,0.005833894869291062,0.005075280182895035,3
item_SPIRIVA HANDIHALER,0.0058338104674197765,0.00507520675628137,3
item_L209,0.005833777112315498,0.005075177738531901,3
item_MODAFINIL,0.005833747339467821,0.005075151837217738,3
item_H8110,0.005833678045719159,0.005075091554131178,3
item_MAPAP,0.005833677723264564,0.005075091273607197,3
item_ACETAMINOPHEN/CODEINE PHO,0.0058336420278003965,0.00507506021982821,3
item_M5020,0.005833634831671436,0.005075053959453018,3
item_TOBRAMYCIN SULFATE,0.005833622161999309,0.005075042937290756,3
item_N930,0.005833593459713073,0.005075017967326813,3
item_RIZATRIPTAN BENZOATE,0.005833466071625718,0.005074907144240389,3
item_45385,0.0058334411142687455,0.005074885432231157,3
item_87147,0.005833414190509382,0.005074862009522073,3
item_B372,0.005833394361312905,0.005074844758829323,3
item_BASAGLAR KWIKPEN,0.005833355472466043,0.0050748109269214406,3
item_84146,0.005833327893378604,0.0050747869341003365,3
item_J329,0.0058333271434647255,0.005074786281702045,3
item_76821,0.0058332894704357825,0.0050747535075123295,3
item_20611,0.005833279740495897,0.0050747450428121265,3
item_93321,0.005833267761666765,0.005074734621658598,3
item_PIOGLITAZONE HYDROCHLORID,0.005833236385548895,0.005074707325556626,3
item_TEMAZEPAM,0.005833210224493656,0.005074684566372892,3
item_85651,0.005833202373439092,0.005074677736235816,3
item_MINOCYCLINE HYDROCHLORIDE,0.005833174246798855,0.0050746532670633325,3
item_84482,0.005833046718547686,0.0050745423220393965,3
item_Z01411,0.00583302836973254,0.005074526359225534,3
item_O770,0.005832994117291946,0.005074496560825518,3
item_Z87442,0.005832988657802605,0.005074491811264774,3
item_O034,0.005832964398263168,0.005074470706331875,3
item_G5602,0.005832951602267347,0.005074459574272511,3
item_01968,0.005832794424995362,0.005074322835659359,3
item_O4202,0.005832788255256202,0.005074317468206637,3
item_97802,0.005832762003333155,0.005074294629971154,3
item_64400,0.005832747718146586,0.005074282202369025,3
item_IRBESARTAN,0.0058327259033198525,0.005074263224248868,3
item_D649,0.005832669703419299,0.0050742143323425255,3
item_O24414,0.005832664811240227,0.0050742100763214535,3
item_87400,0.005832656165432798,0.005074202554777769,3
item_PRENATAL 19,0.005832646676623814,0.0050741942998528385,3
item_92507,0.005832589979951744,0.005074144975773019,3
item_L249,0.005832585406668798,0.005074140997180188,3
item_METHYLPHENIDATE HYDROCHLO,0.005832561851030562,0.005074120504616195,3
item_J2001,0.005832477189002701,0.005074046851675599,3
item_82803,0.005832449562495792,0.00507402281760125,3
item_N5089,0.00583241569546627,0.005073993354495103,3
item_DOXYCYCLINE MONOHYDRATE,0.005832336095760921,0.005073924105594296,3
item_JUNEL FE 24,0.005832326777797954,0.005073915999299299,3
item_S39012,0.005832310421726549,0.005073901770101322,3
item_J4520,0.005832262450608668,0.005073860036942019,3
item_A048,0.005832241328375476,0.005073841661353508,3
item_N83201,0.005832236477010928,0.005073837440839614,3
item_H6692,0.00583208808447561,0.005073708344633621,3
item_J2710,0.005832075434767714,0.005073697339839527,3
item_RIZATRIPTAN BENZOATE ODT,0.005832020390781918,0.005073649453537742,3
item_J811,0.005831931517218767,0.0050735721367118555,3
item_78264,0.005831875493938011,0.005073523398458429,3
item_87480,0.005831861375553629,0.005073511115968245,3
item_E1010,0.005831838624946046,0.0050734913237521695,3
item_H66001,0.005831797652623724,0.005073455679295047,3
item_PROCTOZONE-HC,0.0058317890005021,0.005073448152258238,3
item_88341,0.005831786089181861,0.0050734456195136056,3
item_72200,0.005831784522350905,0.005073444256426632,3
item_84704,0.005831746190618585,0.005073410909188504,3
item_F603,0.005831700531564526,0.005073371187442154,3
item_F3163,0.005831665825095554,0.005073340994053665,3
item_R3915,0.005831662506307812,0.005073338106826857,3
item_VRAYLAR,0.0058315939636234436,0.005073278477139409,3
item_F323,0.005831551964307354,0.005073241939234387,3
item_M4317,0.005831550650880445,0.005073240796599884,3
item_59510,0.0058315306669811905,0.0050732234113212435,3
item_00840,0.0058315235548189025,0.005073217223994059,3
item_CARBAMAZEPINE ER,0.005831509256470573,0.005073204784941668,3
item_Z4801,0.005831499251525169,0.005073196080996486,3
item_73700,0.005831470943879856,0.005073171454356051,3
item_R0902,0.005831431840350602,0.0050731374356821545,3
item_PREMARIN,0.005831427456680897,0.0050731336220460705,3
item_N1330,0.0058314011988181355,0.0050731107786432484,3
item_31500,0.005831375311899689,0.0050730882579487335,3
item_M19012,0.005831368201733069,0.005073082072357708,3
item_ZONISAMIDE,0.005831322261278487,0.005073042105802952,3
