feature,importance_normalized,importance_scaled
item_CHILDRENS IBUPROFEN 100,0.14134229479613455,0.03077407236697657
item_AZELASTINE HCL,0.14134229479613455,0.03077407236697657
item_B084,0.14134229479613455,0.03077407236697657
item_B80,0.14134229479613455,0.03077407236697657
item_B850,0.14134229479613455,0.03077407236697657
item_ACNE MEDICATION 5,0.14134229479613455,0.03077407236697657
item_ALBENZA,0.14134229479613455,0.03077407236697657
item_AMITIZA,0.14134229479613455,0.03077407236697657
item_AMITRIPTYLINE HYDROCHLORI,0.14134229479613455,0.03077407236697657
item_F3341,0.14134229479613455,0.03077407236697657
item_F348,0.14134229479613455,0.03077407236697657
item_F3481,0.14134229479613455,0.03077407236697657
item_F3489,0.14134229479613455,0.03077407236697657
item_F349,0.14134229479613455,0.03077407236697657
item_F4011,0.14134229479613455,0.03077407236697657
item_F411,0.14134229479613455,0.03077407236697657
item_E860,0.14134229479613455,0.03077407236697657
item_EPINEPHRINE,0.14134229479613455,0.03077407236697657
item_EQ ITCHY EYE DROPS,0.14134229479613455,0.03077407236697657
item_ESCITALOPRAM OXALATE,0.14134229479613455,0.03077407236697657
item_92004,0.14134229479613455,0.03077407236697657
item_92012,0.14134229479613455,0.03077407236697657
item_90670,0.14134229479613455,0.03077407236697657
item_90687,0.14134229479613455,0.03077407236697657
item_90698,0.14134229479613455,0.03077407236697657
item_88346,0.14134229479613455,0.03077407236697657
item_90472,0.14134229479613455,0.03077407236697657
item_90648,0.14134229479613455,0.03077407236697657
item_99050,0.14134229479613455,0.03077407236697657
item_99188,0.14134229479613455,0.03077407236697657
item_F1110,0.14134229479613455,0.03077407236697657
item_F1920,0.14134229479613455,0.03077407236697657
item_F329,0.14134229479613455,0.03077407236697657
item_D649,0.14134229479613455,0.03077407236697657
item_DIAZEPAM,0.14134229479613455,0.03077407236697657
item_DIMETAPP DM COLD & COUGH,0.14134229479613455,0.03077407236697657
item_DIPHENHIST,0.14134229479613455,0.03077407236697657
item_DIPHENHYDRAMINE HCL,0.14134229479613455,0.03077407236697657
item_DOXYCYCLINE MONOHYDRATE,0.14134229479613455,0.03077407236697657
item_E6609,0.14134229479613455,0.03077407236697657
item_CULTURELLE IMMUNITY SUPPO,0.14134229479613455,0.03077407236697657
item_CVS ALLERGY RELIEF ADULT,0.14134229479613455,0.03077407236697657
item_CVS ALLERGY RELIEF CHILDR,0.14134229479613455,0.03077407236697657
item_CVS CHILDRENS ALLERGY,0.14134229479613455,0.03077407236697657
item_CVS ENEMA DISPOSABLE,0.14134229479613455,0.03077407236697657
item_CVS EYE ITCH RELIEF,0.14134229479613455,0.03077407236697657
item_CVS PAIN RELIEF CHILDRENS,0.14134229479613455,0.03077407236697657
item_GUANFACINE HCL,0.14134229479613455,0.03077407236697657
item_H1010,0.14134229479613455,0.03077407236697657
item_H1013,0.14134229479613455,0.03077407236697657
item_H1033,0.14134229479613455,0.03077407236697657
item_FLUOCINOLONE ACETONIDE SC,0.14134229479613455,0.03077407236697657
item_FLUOXETINE HCL,0.14134229479613455,0.03077407236697657
item_FLUOXETINE HYDROCHLORIDE,0.14134229479613455,0.03077407236697657
item_G0378,0.14134229479613455,0.03077407236697657
item_G0481,0.14134229479613455,0.03077407236697657
item_G43009,0.14134229479613455,0.03077407236697657
item_GUANFACINE ER,0.14134229479613455,0.03077407236697657
item_F919,0.14134229479613455,0.03077407236697657
item_FAMOTIDINE,0.14134229479613455,0.03077407236697657
item_FLONASE ALLERGY RELIEF,0.14134229479613455,0.03077407236697657
item_FLUCONAZOLE,0.14134229479613455,0.03077407236697657
item_F419,0.14134229479613455,0.03077407236697657
item_F4321,0.14134229479613455,0.03077407236697657
item_F4323,0.14134229479613455,0.03077407236697657
item_F4324,0.14134229479613455,0.03077407236697657
item_F800,0.14134229479613455,0.03077407236697657
item_J0100,0.14134229479613455,0.03077407236697657
item_J028,0.14134229479613455,0.03077407236697657
item_H6993,0.14134229479613455,0.03077407236697657
item_H9209,0.14134229479613455,0.03077407236697657
item_HYDROXYZINE HYDROCHLORIDE,0.14134229479613455,0.03077407236697657
item_HYDROXYZINE PAMOATE,0.14134229479613455,0.03077407236697657
item_I880,0.14134229479613455,0.03077407236697657
