drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,variant_id,allele_name,allele_function,allele_frequency_global,allele_frequency_afr,allele_frequency_amr,allele_frequency_eas,allele_frequency_eur,allele_frequency_sas,allele_frequency_assigned,frequency_source,frequency_assignment_method,guideline_id,guideline_url,source
PINDOLOL,pindolol,GRK5,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PIROXICAM,piroxicam,CYP2C9,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PRAVASTATIN,pravastatin,SLCO1B1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PRAVASTATIN,pravastatin,CYP3A4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PRAVASTATIN,pravastatin,CYP3A5,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PRAVASTATIN,pravastatin,CETP,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PRAVASTATIN,pravastatin,HMGCR,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PRAVASTATIN,pravastatin,KIF6,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PRAVASTATIN,pravastatin,LPA,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PROBENECID,probenecid,G6PD,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PROPAFENONE,propafenone,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PROPRANOLOL,propranolol,ADRA2C,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PROPRANOLOL,propranolol,ADRB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PROPRANOLOL,propranolol,ADRB2,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PROPRANOLOL,propranolol,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PROPRANOLOL,propranolol,GRK4,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PROPRANOLOL,propranolol,GRK5,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PROPYLTHIOURACIL,propylthiouracil,HLA-B,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
QUETIAPINE,quetiapine,MC4R,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
QUININE,quinine,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
QUININE,quinine,G6PD,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
RABEPRAZOLE,rabeprazole,CYP2C19,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
RALOXIFENE,raloxifene,FDPS,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
RIBAVIRIN,ribavirin,VDR,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
RISEDRONATE,risedronate,FDPS,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
RISPERIDONE,risperidone,CYP2D6,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
RISPERIDONE,risperidone,DRD2,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
RISPERIDONE,risperidone,HTR2C,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
RISPERIDONE,risperidone,MC4R,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
RISPERIDONE,risperidone,ANKK1,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ROSUVASTATIN,rosuvastatin,ABCG2,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ROSUVASTATIN,rosuvastatin,SLCO1B1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ROSUVASTATIN,rosuvastatin,CYP3A4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ROSUVASTATIN,rosuvastatin,CYP3A5,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ROSUVASTATIN,rosuvastatin,HMGCR,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ROSUVASTATIN,rosuvastatin,COQ2,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ROSUVASTATIN,rosuvastatin,LPA,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SERTRALINE,sertraline,CYP2C19,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SERTRALINE,sertraline,CYP2B6,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SERTRALINE,sertraline,CYP2D6,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SERTRALINE,sertraline,GRIK4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SERTRALINE,sertraline,HTR2A,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SERTRALINE,sertraline,SLC6A4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SILDENAFIL,sildenafil,GNB3,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SIMVASTATIN,simvastatin,SLCO1B1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SIMVASTATIN,simvastatin,ABCB1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SIMVASTATIN,simvastatin,CYP3A4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SIMVASTATIN,simvastatin,CYP3A5,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SIMVASTATIN,simvastatin,CETP,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SIMVASTATIN,simvastatin,HMGCR,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SIMVASTATIN,simvastatin,LPA,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SIROLIMUS,sirolimus,CYP3A5,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SOTALOL,sotalol,ADRA2C,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
SOTALOL,sotalol,ADRB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
