combination,drug_names,interaction_size,n_bins,mean_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_AMOXICILLIN|item_drug_BACLOFEN|item_drug_LYRICA,AMOXICILLIN + BACLOFEN + LYRICA,3,5,0.05407699236593859,7281,7281
item_drug_BACLOFEN|item_drug_CEPHALEXIN|item_drug_DIAZEPAM,BACLOFEN + CEPHALEXIN + DIAZEPAM,3,5,0.05367611108257022,7281,7281
item_drug_CEPHALEXIN|item_drug_LORAZEPAM|item_drug_LYRICA,CEPHALEXIN + LORAZEPAM + LYRICA,3,5,0.05330892506935936,7281,7281
item_drug_FUROSEMIDE|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,FUROSEMIDE + OMEPRAZOLE + PREDNISONE,3,5,0.05324528161414969,5359,5359
item_drug_CEPHALEXIN|item_drug_LYRICA,CEPHALEXIN + LYRICA,2,5,0.05308297697976779,7281,7281
item_drug_BACLOFEN|item_drug_DIAZEPAM|item_drug_LORAZEPAM,BACLOFEN + DIAZEPAM + LORAZEPAM,3,5,0.05306495537799729,7281,7281
item_drug_BACLOFEN|item_drug_DIAZEPAM,BACLOFEN + DIAZEPAM,2,5,0.052717022442724706,7281,7281
item_drug_LORAZEPAM|item_drug_LYRICA,LORAZEPAM + LYRICA,2,5,0.0521662434229084,7281,7281
item_drug_BACLOFEN|item_drug_DIAZEPAM|item_drug_LYRICA,BACLOFEN + DIAZEPAM + LYRICA,3,5,0.05200190349424124,7281,7281
item_drug_FUROSEMIDE|item_drug_SIMVASTATIN,FUROSEMIDE + SIMVASTATIN,2,5,0.05134394395999052,8128,8128
item_drug_BACLOFEN|item_drug_CEPHALEXIN|item_drug_LORAZEPAM,BACLOFEN + CEPHALEXIN + LORAZEPAM,3,5,0.05117156637014155,7281,7281
item_drug_BACLOFEN|item_drug_CEPHALEXIN|item_drug_LYRICA,BACLOFEN + CEPHALEXIN + LYRICA,3,5,0.050108514486385494,7281,7281
item_drug_FUROSEMIDE|item_drug_OMEPRAZOLE|item_drug_SIMVASTATIN,FUROSEMIDE + OMEPRAZOLE + SIMVASTATIN,3,5,0.049921281526650846,8128,8128
item_drug_BACLOFEN|item_drug_CEPHALEXIN,BACLOFEN + CEPHALEXIN,2,5,0.04987693893094109,7281,7281
item_drug_BACLOFEN|item_drug_LORAZEPAM|item_drug_LYRICA,BACLOFEN + LORAZEPAM + LYRICA,3,5,0.04949735878181257,7281,7281
item_drug_ARIPIPRAZOLE|item_drug_CEPHALEXIN|item_drug_PREDNISONE,ARIPIPRAZOLE + CEPHALEXIN + PREDNISONE,3,5,0.0491009895378331,7278,7278
item_drug_BACLOFEN|item_drug_LORAZEPAM,BACLOFEN + LORAZEPAM,2,5,0.0489602053740817,7281,7281
item_drug_ARIPIPRAZOLE|item_drug_DIAZEPAM|item_drug_PREDNISONE,ARIPIPRAZOLE + DIAZEPAM + PREDNISONE,3,5,0.04886721981049539,7278,7278
item_drug_AMOXICILLIN|item_drug_FUROSEMIDE|item_drug_SIMVASTATIN,AMOXICILLIN + FUROSEMIDE + SIMVASTATIN,3,5,0.04881587013886105,8128,8128
item_drug_BACLOFEN|item_drug_LYRICA,BACLOFEN + LYRICA,2,5,0.04736562754844762,7281,7281
item_drug_ALPRAZOLAM|item_drug_ARIPIPRAZOLE|item_drug_BENZONATATE,ALPRAZOLAM + ARIPIPRAZOLE + BENZONATATE,3,5,0.04726826913898566,8772,8772
item_drug_GABAPENTIN|item_drug_METRONIDAZOLE|item_drug_NAPROXEN,GABAPENTIN + METRONIDAZOLE + NAPROXEN,3,5,0.046861658295991246,7779,7779
item_drug_ARIPIPRAZOLE|item_drug_PREDNISONE,ARIPIPRAZOLE + PREDNISONE,2,5,0.04600315910963068,7278,7278
item_drug_AMOXICILLIN|item_drug_ARIPIPRAZOLE|item_drug_BENZONATATE,AMOXICILLIN + ARIPIPRAZOLE + BENZONATATE,3,5,0.044681172039969144,8772,8772
item_drug_OMEPRAZOLE|item_drug_SIMVASTATIN,OMEPRAZOLE + SIMVASTATIN,2,5,0.04439773863812184,8128,8128
item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE|item_drug_SIMVASTATIN,AMOXICILLIN + OMEPRAZOLE + SIMVASTATIN,3,5,0.0441850665909486,8128,8128
item_drug_ARIPIPRAZOLE|item_drug_BENZONATATE|item_drug_OMEPRAZOLE,ARIPIPRAZOLE + BENZONATATE + OMEPRAZOLE,3,5,0.043489271922698726,8772,8772
item_drug_AMOXICILLIN|item_drug_SIMVASTATIN,AMOXICILLIN + SIMVASTATIN,2,5,0.04273962155643714,8128,8128
item_drug_ARIPIPRAZOLE|item_drug_AZITHROMYCIN|item_drug_BENZONATATE,ARIPIPRAZOLE + AZITHROMYCIN + BENZONATATE,3,5,0.04230805918772358,8772,8772
