feature,importance_normalized,importance_scaled,n_models,models
item_CEFEPIME,0.011354925144434718,0.0013588852690453938,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_PRASUGREL,0.01125543259872095,0.0013469786335519377,3,"catboost,xgboost,xgboost_rf"
item_MEMANTINE HYDROCHLORIDE E,0.011250416667122995,0.0013463783587397042,3,"catboost,xgboost,xgboost_rf"
item_NOVOLOG,0.011238553750018093,0.001344958680221642,3,"catboost,xgboost,xgboost_rf"
item_AMLODIPINE BESYLATE/BENAZ,0.011207247251807599,0.00134121211750084,3,"catboost,xgboost,xgboost_rf"
item_LOVASTATIN,0.01107938953629217,0.0013259109187753807,3,"catboost,xgboost,xgboost_rf"
item_SODIUM BICARBONATE,0.011074901812757375,0.0013253738565468399,3,"catboost,xgboost,xgboost_rf"
item_PREVNAR 13,0.010956092593759195,0.001311155524372053,3,"catboost,xgboost,xgboost_rf"
item_TADALAFIL,0.01085160751891968,0.0012986514147254903,3,"catboost,xgboost,xgboost_rf"
item_MYCOPHENOLATE MOFETIL,0.010733380151362283,0.0012845027148328711,3,"catboost,xgboost,xgboost_rf"
item_TIZANIDINE HYDROCHLORIDE,0.010707667241283048,0.0012814255571866064,3,"catboost,xgboost,xgboost_rf"
item_PHENOBARBITAL,0.010690309731240728,0.0012793483207095893,3,"catboost,xgboost,xgboost_rf"
item_TRESIBA FLEXTOUCH,0.010687407560995394,0.001279001007420908,3,"catboost,xgboost,xgboost_rf"
item_RANEXA,0.010620252831384616,0.0012709643562185406,3,"catboost,xgboost,xgboost_rf"
item_FLUCELVAX QUADRIVALENT 20,0.010505462350701654,0.001257226961102099,3,"catboost,xgboost,xgboost_rf"
item_QVAR REDIHALER,0.010429235611636374,0.0012481046294701777,3,"catboost,xgboost,xgboost_rf"
item_DULOXETINE HCL,0.01039264084875923,0.0012437252008464378,3,"catboost,xgboost,xgboost_rf"
item_PRAMIPEXOLE DIHYDROCHLORI,0.010299930571486803,0.0012326302241317422,3,"catboost,xgboost,xgboost_rf"
